technical_director	technical director
front_line_medical_receptionist	front line medical receptionist
university_department_head	university department head
cocoa_press_operator	cocoa press operator
soap_drier_operator	soap drier operator
jewellery_designer	jewellery designer
set_builder	set builder
slaughterer	slaughterer
pipeline_environmental_project_manager	pipeline environmental project manager
man_made_fiber_spinner	man-made fiber spinner
movie_distributor	movie distributor
window_installer	window installer
supreme_court_judge	supreme court judge
ict_intelligent_systems_designer	ICT intelligent systems designer
online_marketer	online marketer
knitter	knitter
pulp_grader	pulp grader
chemical_engineering_technician	chemical engineering technician
venue_programmer	venue programmer
wood_technology_engineer	wood technology engineer
optoelectronic_engineer	optoelectronic engineer
wholesale_merchant_in_computers_computer_peripheral_equipment_and_software	wholesale merchant in computers, computer peripheral equipment and software
religious_education_teacher_secondary_school	religious education teacher secondary school
intelligence_communications_interceptor	intelligence communications interceptor
visual_merchandiser	visual merchandiser
radio_technician	radio technician
chocolatier	chocolatier
financial_markets_back_office_administrator	financial markets back office administrator
sound_editor	sound editor
advanced_nurse_practitioner	advanced nurse practitioner
architectural_drafter	architectural drafter
stop_motion_animator	stop-motion animator
driller	driller
coffee_roaster	coffee roaster
leather_goods_quality_controller	leather goods quality controller
paper_pulp_moulding_operator	paper pulp moulding operator
fruit_and_vegetable_picker	fruit and vegetable picker
security_guard_supervisor	security guard supervisor
artistic_painter	artistic painter
jewellery_engraver	jewellery engraver
starch_converting_operator	starch converting operator
information_manager	information manager
purchasing_manager	purchasing manager
gaming_inspector	gaming inspector
library_assistant	library assistant
food_service_vocational_teacher	food service vocational teacher
butcher	butcher
machinery_assembly_supervisor	machinery assembly supervisor
china_and_glassware_distribution_manager	china and glassware distribution manager
clothing_quality_inspector	clothing quality inspector
mechanical_engineering_drafter	mechanical engineering drafter
competition_policy_officer	competition policy officer
car_leasing_agent	car leasing agent
marine_surveyor	marine surveyor
police_detective	police detective
sport_official	sport official
computer_hardware_engineering_technician	computer hardware engineering technician
investment_adviser	investment adviser
amusement_park_cleaner	amusement park cleaner
rental_service_representative	rental service representative
economic_policy_officer	economic policy officer
sport_therapist	sport therapist
forwarding_manager	forwarding manager
pet_and_pet_food_specialised_seller	pet and pet food specialised seller
attraction_operator	attraction operator
import_export_specialist_in_fruit_and_vegetables	import export specialist in fruit and vegetables
licensing_officer	licensing officer
occupational_driving_instructor	occupational driving instructor
soap_maker	soap maker
community_development_officer	community development officer
trolley_bus_driver	trolley bus driver
audiology_equipment_specialised_seller	audiology equipment specialised seller
ordinary_seaman	ordinary seaman
trade_regional_manager	trade regional manager
glass_engraver	glass engraver
social_work_practice_educator	social work practice educator
plodder_operator	plodder operator
automated_optical_inspection_operator	automated optical inspection operator
metal_sawing_machine_operator	metal sawing machine operator
building_materials_shop_manager	building materials shop manager
bicycle_courier	bicycle courier
wholesale_merchant	wholesale merchant
tourism_contract_negotiator	tourism contract negotiator
import_export_specialist_in_hardware_plumbing_and_heating_equipment	import export specialist in hardware, plumbing and heating equipment
social_work_researcher	social work researcher
clothing_operations_manager	clothing operations manager
fisheries_adviser	fisheries adviser
gerontology_social_worker	gerontology social worker
football_coach	football coach
kettle_tender	kettle tender
vehicle_maintenance_attendant	vehicle maintenance attendant
video_and_motion_picture_producer	video and motion picture producer
stock_trader	stock trader
steiner_school_teacher	Steiner school teacher
wood_sander	wood sander
abrasive_blasting_operator	abrasive blasting operator
fish_and_seafood_shop_manager	fish and seafood shop manager
business_service_manager	business service manager
musical_instrument_technician	musical instrument technician
air_traffic_controller	air traffic controller
veterinary_medicine_lecturer	veterinary medicine lecturer
cellar_operator	cellar operator
model_maker	model maker
hotel_porter	hotel porter
vehicle_rental_agent	vehicle rental agent
telecommunications_manager	telecommunications manager
