technical_director	technical director
stadium_bookmaker	stadium bookmaker
sports_bookmaker	sports bookmaker
head_bookmaker	head bookmaker
on-course_bookmaker	on-course bookmaker
betting_clerk	betting clerk
race_course_bookmaker	race course bookmaker
bookmaker_manager	bookmaker manager
agility_dog_trainer	agility dog trainer
security_dog_trainer	security dog trainer
gun_dog_trainer	gun dog trainer
puppy_trainer	puppy trainer
dog_handler_instructor	dog handler instructor
dog_training_instructor	dog training instructor
canine_training_centre_worker	canine training centre worker
police_dog_trainer	police dog trainer
canine_behaviour_trainer	canine behaviour trainer
sheepdog_trainer	sheepdog trainer
dog_handler_trainer	dog handler trainer
guide_dog_trainer	guide dog trainer
canine_behaviourist	canine behaviourist
greyhound_trainer	greyhound trainer
pet_dog_trainer	pet dog trainer
assistance_dog_trainer	assistance dog trainer
pasta_producer	pasta producer
pasta_products_maker	pasta products maker
pasta_goods_maker	pasta goods maker
pasta_making_operative	pasta making operative
sweet_salesperson	sweet salesperson
chocolate_confections_specialised_seller	chocolate confections specialised seller
pastry_and_confectionery_specialised_seller	pastry and confectionery specialised seller
sugar_confectionery_salesperson	sugar confectionery salesperson
candy_specialised_seller	candy specialised seller
chocolate_confections_salesperson	chocolate confections salesperson
candy_salesperson	candy salesperson
sweet_specialised_seller	sweet specialised seller
chocolate_salesperson	chocolate salesperson
sugar_confectionery_specialised_seller	sugar confectionery specialised seller
confectionery_salesperson	confectionery salesperson
pastry_and_confectionery_salesperson	pastry and confectionery salesperson
chocolate_specialised_seller	chocolate specialised seller
mechanical_engineering_fitter	mechanical engineering fitter
electrical_engineering_fitter	electrical engineering fitter
industrial_machinery_maintenance_engineer	industrial machinery maintenance engineer
engineering_fitter	engineering fitter
industrial_machinery_repairer	industrial machinery repairer
industrial_machine_fitter	industrial machine fitter
industrial_machinery_inspector	industrial machinery inspector
industrial_machinery_fitter	industrial machinery fitter
industrial_machine_inspector	industrial machine inspector
mechanical_fitter	mechanical fitter
electronic_fitter	electronic fitter
industrial_machine_maintenance_engineer	industrial machine maintenance engineer
industrial_machine_repairer	industrial machine repairer
industrial_machine_mechanic	industrial machine mechanic
marine_rigger	marine rigger
yacht_rigger	yacht rigger
ship_rigger	ship rigger
boat_tester	boat tester
marine_outboard_rigger	marine outboard rigger
sail_rigger	sail rigger
boat_checker	boat checker
deck_rigger	deck rigger
researcher/fact_checker	researcher/fact checker
editor/fact_checker	editor/fact checker
writer/fact_checker	writer/fact checker
fact-checker	fact-checker
assistant_editor	assistant editor
copy_editor/fact_checker	copy editor/fact checker
journalist/fact_checker	journalist/fact checker
news_editor	news editor
newspaper_graphics_editor	newspaper graphics editor
newspaper_news_editor	newspaper news editor
graphics_editor	graphics editor
sports_editor	sports editor
technician_in_microsystems	technician in microsystems
MEMS_technologist	MEMS technologist
MEMS_technician	MEMS technician
microsystem_technician	microsystem technician
microelectromechanical_systems_technologist	microelectromechanical systems technologist
micro-system_engineering_technician	micro-system engineering technician
microelectromechanical_systems_technician	microelectromechanical systems technician
technician_in_microsystem_engineering	technician in microsystem engineering
microsystem_technologist	microsystem technologist
microsystem_engineering_assistant	microsystem engineering assistant
local_fisheries_boatman	local fisheries boatman
fisheries_boatwoman	fisheries boatwoman
local_fisheries_boatwoman	local fisheries boatwoman
local_boatman	local boatman
local_fishing_vessel_skipper	local fishing vessel skipper
senior_analyst_-_control	senior analyst - control
derivatives_middle_office_analyst	derivatives middle office analyst
middle_office_risk_and_control_analyst	middle office risk and control analyst
middle_office_regulatory_reform_analyst	middle office regulatory reform analyst
middle_office_specialist	middle office specialist
structured_products_middle_office_analyst	structured products middle office analyst
middle_office_associate	middle office associate
transaction_reporting_specialist	transaction reporting specialist
middle_office_junior_manager	middle office junior manager
middle_office_senior_manager	middle office senior manager
chief_ICT_security_officers	chief ICT security officers
chief_information_security_officer	chief information security officer
fead_of_IT_security	fead of IT security
CISO	CISO
head_IT_security_officer	head IT security officer
digital_electronics_engineering_technician	digital electronics engineering technician
electronics_engineering_technologist	electronics engineering technologist
signal_processing_technician	signal processing technician
industrial_electronics_engineering_technician	industrial electronics engineering technician
technician_in_electronic_equipment	technician in electronic equipment
communication_electronics_engineering_technician	communication electronics engineering technician
electronic_equipment_technician	electronic equipment technician
signal_processing_technologist	signal processing technologist
technician_in_electronics_engineering	technician in electronics engineering
electronics_engineering_assistant	electronics engineering assistant
control_and_instrumentation_technician	control and instrumentation technician
assistant_in_electronics_engineering	assistant in electronics engineering
technologist_in_electronics_engineering	technologist in electronics engineering
rail_transportation_coordinator	rail transportation coordinator
railway_transportation_specialist	railway transportation specialist
rail_transportation_specialist	rail transportation specialist
rail_logistics_analyst	rail logistics analyst
railway_logistics_analyst	railway logistics analyst
inspector_of_ship_cargo	inspector of ship cargo
shipping_freight_and_cargo_inspector	shipping freight and cargo inspector
ship_freight_inspector	ship freight inspector
inspector_of_ship_freight	inspector of ship freight
marine_freight_and_cargo_inspector	marine freight and cargo inspector
teacher_of_history_in_secondary_school	teacher of history in secondary school
teacher_of_history_in_high_school	teacher of history in high school
secondary_school_history_tutor	secondary school history tutor
history_tutor_in_high_school	history tutor in high school
history_tutor_in_secondary_school	history tutor in secondary school
high_school_history_teacher	high school history teacher
high_school_history_tutor	high school history tutor
history_teacher	history teacher
history_teacher_in_high_school	history teacher in high school
secondary_school_history_teacher	secondary school history teacher
chemical_metallurgy scholar	chemical metallurgy scholar
chemical_metallurgy expert	chemical metallurgy expert
chemical_metallurgy_research_analyst	chemical metallurgy research analyst
steel_industry_expert	steel industry expert
chemical_metallurgists	chemical metallurgists
chemical_metallurgy_analyst	chemical metallurgy analyst
chemical_metallurgy consultant	chemical metallurgy consultant
chemicals_metallurgist	chemicals metallurgist
chemical_metallurgy scientist	chemical metallurgy scientist
chemical_technicians	chemical technicians
chemical_metallurgy adviser	chemical metallurgy adviser
extraction_metallurgist	extraction metallurgist
chemical_metallurgy_researcher	chemical metallurgy researcher
chemical_metallurgy science_researcher	chemical metallurgy science researcher
chemical_metallurgy_research_scientist	chemical metallurgy research scientist
chemical_testers	chemical testers
chemical_metallurgy specialist	chemical metallurgy specialist
die_cutting_machine_specialist	die cutting machine specialist
shearer_technician	shearer technician
die_cutting_machine_operator	die cutting machine operator
paper_cutting_machinist	paper cutting machinist
